z,qc,fs,u2
2.52,0.12,0.0035,0.068
2.53,0.12,0.0035,0.069
2.54,0.12,0.0035,0.071
2.55,0.13,0.0036,0.072
2.56,0.12,0.0036,0.072
2.57,0.12,0.0035,0.072
2.58,0.12,0.0035,0.071
2.59,0.12,0.0035,0.071
2.6,0.12,0.0035,0.071
2.61,0.12,0.0036,0.071
2.62,0.12,0.0036,0.071
2.63,0.12,0.0036,0.071
2.64,0.12,0.0036,0.072
2.65,0.12,0.0036,0.072
2.66,0.13,0.0036,0.073
2.67,0.13,0.0037,0.073
2.68,0.12,0.0037,0.073
2.69,0.13,0.0036,0.072
2.7,0.13,0.0036,0.073
2.71,0.13,0.0036,0.073
2.72,0.13,0.0037,0.073
2.73,0.13,0.0037,0.076
2.74,0.13,0.0036,0.076
2.75,0.13,0.0037,0.076
2.76,0.13,0.0037,0.075
2.77,0.13,0.0038,0.075
2.78,0.13,0.0038,0.073
2.79,0.13,0.0038,0.073
2.8,0.13,0.0038,0.075
2.81,0.13,0.0037,0.075
2.82,0.13,0.0037,0.076
2.83,0.12,0.0036,0.076
2.84,0.12,0.0036,0.075
2.85,0.12,0.0036,0.073
2.86,0.13,0.0036,0.073
2.87,0.13,0.0036,0.075
2.88,0.13,0.0036,0.076
2.89,0.13,0.0036,0.076
2.9,0.12,0.0036,0.077
2.91,0.13,0.0037,0.077
2.92,0.12,0.0037,0.079
2.93,0.12,0.0036,0.076
2.94,0.12,0.0035,0.075
2.95,0.12,0.0034,0.071
2.96,0.12,0.0035,0.071
2.97,0.12,0.0034,0.071
2.98,0.11,0.0035,0.071
2.99,0.12,0.0034,0.069
3,0.12,0.0034,0.069
3.01,0.12,0.0033,0.069
3.02,0.11,0.0033,0.073
3.03,0.12,0.0032,0.075
3.04,0.12,0.0031,0.075
3.05,0.12,0.0032,0.075
3.06,0.12,0.003,0.075
3.07,0.12,0.003,0.077
3.08,0.13,0.003,0.079
3.09,0.13,0.003,0.077
3.1,0.13,0.003,0.077
3.11,0.13,0.0029,0.076
3.12,0.13,0.0029,0.075
3.13,0.13,0.0029,0.075
3.14,0.12,0.0028,0.071
3.15,0.12,0.0029,0.071
3.16,0.13,0.003,0.072
3.17,0.13,0.0031,0.073
3.18,0.13,0.0031,0.073
3.19,0.13,0.0032,0.077
3.2,0.13,0.0032,0.085
3.21,0.13,0.0033,0.088
3.22,0.14,0.0033,0.088
3.23,0.14,0.0032,0.084
3.24,0.14,0.0032,0.084
3.25,0.13,0.0032,0.084
3.26,0.13,0.0032,0.084
3.27,0.14,0.0033,0.084
3.28,0.14,0.0034,0.085
3.29,0.13,0.0034,0.084
3.3,0.14,0.0034,0.085
3.31,0.14,0.0035,0.083
3.32,0.13,0.0035,0.083
3.33,0.13,0.0035,0.081
3.34,0.13,0.0035,0.083
3.35,0.13,0.0035,0.083
3.36,0.14,0.0035,0.081
3.37,0.12,0.0032,0.081
3.38,0.13,0.0031,0.083
3.39,0.13,0.003,0.081
3.4,0.13,0.0031,0.081
3.41,0.13,0.0031,0.08
3.42,0.13,0.0032,0.08
3.43,0.13,0.0031,0.085
3.44,0.12,0.0031,0.085
3.45,0.12,0.0031,0.084
3.46,0.13,0.003,0.081
3.47,0.12,0.003,0.081
3.48,0.12,0.0032,0.083
3.49,0.13,0.0032,0.083
3.5,0.12,0.0033,0.083
3.51,0.12,0.0032,0.081
3.52,0.12,0.0031,0.081
3.53,0.12,0.0031,0.079
3.54,0.11,0.0031,0.076
3.55,0.11,0.0031,0.073
3.56,0.12,0.0031,0.075
3.57,0.12,0.0031,0.075
3.58,0.12,0.0031,0.076
3.59,0.12,0.0031,0.076
3.6,0.11,0.0029,0.081
3.62,0.12,0.0029,0.083
3.62,0.12,0.0029,0.083
3.63,0.11,0.0028,0.083
3.64,0.11,0.0028,0.083
3.65,0.12,0.0028,0.08
3.66,0.12,0.0027,0.08
3.67,0.12,0.0027,0.08
3.68,0.13,0.0028,0.081
3.69,0.13,0.0028,0.081
3.7,0.13,0.0027,0.088
3.71,0.13,0.0027,0.088
3.72,0.14,0.0026,0.092
3.73,0.14,0.0027,0.092
3.74,0.14,0.0027,0.093
3.75,0.14,0.0026,0.095
3.76,0.14,0.0026,0.097
3.77,0.14,0.0027,0.101
3.78,0.16,0.0028,0.105
3.79,0.16,0.0029,0.105
3.8,0.18,0.003,0.109
3.81,0.17,0.003,0.109
3.82,0.2,0.0028,0.117
3.83,0.2,0.0027,0.117
3.84,0.22,0.0026,0.108
3.85,0.22,0.0025,0.102
3.86,0.23,0.0025,0.102
3.87,0.23,0.0026,0.104
3.88,0.23,0.0026,0.104
3.89,0.23,0.0027,0.11
3.9,0.23,0.0027,0.11
3.91,0.24,0.0028,0.117
3.92,0.24,0.0028,0.109
3.93,0.24,0.003,0.118
3.94,0.24,0.0031,0.126
3.95,0.24,0.0031,0.126
3.96,0.24,0.003,0.128
3.97,0.24,0.0033,0.122
3.98,0.24,0.0032,0.118
3.99,0.23,0.0034,0.13
4,0.23,0.0036,0.13
4.01,0.23,0.0037,0.128
4.03,0.24,0.0037,0.132
4.03,0.24,0.0037,0.132
4.04,0.24,0.0041,0.134
4.05,0.24,0.0041,0.134
4.06,0.24,0.0041,0.133
4.07,0.24,0.0042,0.121
4.08,0.24,0.0042,0.121
4.09,0.24,0.0046,0.133
4.1,0.24,0.0045,0.133
4.11,0.24,0.0046,0.132
4.12,0.24,0.0046,0.132
4.13,0.24,0.0046,0.13
4.14,0.24,0.0044,0.137
4.15,0.24,0.0043,0.138
4.16,0.24,0.0043,0.137
4.17,0.24,0.0043,0.137
4.18,0.24,0.0043,0.126
4.19,0.24,0.0041,0.133
4.2,0.24,0.0041,0.138
4.21,0.24,0.0042,0.142
4.22,0.24,0.0042,0.142
4.23,0.24,0.0042,0.152
4.24,0.24,0.0043,0.13
4.25,0.24,0.0043,0.13
4.26,0.25,0.0043,0.154
4.27,0.25,0.0042,0.154
4.28,0.25,0.0043,0.15
4.29,0.25,0.0044,0.149
4.3,0.25,0.0044,0.149
4.31,0.25,0.0047,0.145
4.32,0.24,0.0048,0.145
4.33,0.25,0.0049,0.14
4.34,0.24,0.0048,0.14
4.35,0.25,0.0048,0.14
4.36,0.24,0.0049,0.142
4.37,0.24,0.005,0.138
4.38,0.24,0.0049,0.137
4.39,0.24,0.0049,0.137
4.4,0.24,0.005,0.136
4.41,0.23,0.0051,0.134
4.42,0.23,0.0051,0.134
4.43,0.23,0.0051,0.134
4.44,0.22,0.0051,0.137
4.45,0.22,0.0052,0.129
4.46,0.22,0.0052,0.124
4.47,0.22,0.0052,0.124
4.48,0.21,0.0052,0.125
4.49,0.21,0.0052,0.121
4.5,0.21,0.0053,0.122
4.51,0.21,0.0053,0.122
4.52,0.21,0.0054,0.126
4.53,0.2,0.0054,0.124
4.54,0.2,0.0055,0.128
4.55,0.19,0.0054,0.128
4.56,0.18,0.0053,0.128
4.57,0.19,0.0053,0.128
4.58,0.18,0.0053,0.129
4.59,0.19,0.0053,0.132
4.6,0.18,0.0051,0.133
4.61,0.18,0.0051,0.133
4.62,0.18,0.0049,0.133
4.63,0.18,0.0048,0.136
4.64,0.18,0.0048,0.136
4.65,0.18,0.0047,0.134
4.66,0.18,0.0046,0.138
4.67,0.18,0.0044,0.138
4.68,0.18,0.0043,0.138
4.69,0.18,0.0043,0.137
4.7,0.18,0.0041,0.137
4.71,0.18,0.004,0.138
4.72,0.18,0.0039,0.137
4.73,0.18,0.0039,0.138
4.74,0.18,0.0038,0.137
4.75,0.18,0.0035,0.134
4.76,0.18,0.0035,0.136
4.77,0.18,0.0034,0.136
4.78,0.18,0.0033,0.137
4.79,0.18,0.0034,0.138
4.8,0.18,0.0032,0.138
4.81,0.18,0.0032,0.137
4.82,0.18,0.0032,0.137
4.83,0.18,0.0031,0.137
4.84,0.18,0.0031,0.138
4.85,0.18,0.0031,0.138
4.86,0.18,0.003,0.14
4.87,0.18,0.003,0.14
4.88,0.18,0.0031,0.141
4.89,0.18,0.0032,0.141
4.9,0.18,0.0032,0.141
4.91,0.18,0.0032,0.141
4.92,0.18,0.0032,0.141
4.93,0.18,0.0032,0.141
4.94,0.18,0.0033,0.141
4.95,0.18,0.0033,0.142
4.96,0.18,0.0033,0.142
4.97,0.19,0.0034,0.141
4.98,0.19,0.0035,0.144
4.99,0.19,0.0035,0.145
5,0.19,0.0035,0.145
5.01,0.19,0.0036,0.146
5.02,0.19,0.0036,0.146
5.03,0.19,0.0036,0.146
5.04,0.2,0.0036,0.146
5.05,0.2,0.0036,0.146
5.06,0.2,0.0036,0.145
5.07,0.2,0.0036,0.145
5.08,0.19,0.0036,0.142
5.09,0.19,0.0037,0.138
5.1,0.2,0.0038,0.144
5.11,0.2,0.004,0.15
5.12,0.2,0.0039,0.15
5.13,0.2,0.004,0.152
5.14,0.2,0.004,0.15
5.15,0.2,0.004,0.152
5.16,0.2,0.0041,0.153
5.17,0.2,0.0041,0.153
5.18,0.2,0.0041,0.153
5.19,0.2,0.0041,0.153
5.2,0.2,0.0041,0.152
5.21,0.21,0.0041,0.156
5.22,0.2,0.0041,0.156
5.23,0.2,0.0042,0.156
5.24,0.21,0.0042,0.157
5.25,0.21,0.0043,0.154
5.26,0.2,0.0043,0.156
5.27,0.2,0.0043,0.154
5.28,0.2,0.0043,0.154
5.29,0.2,0.0043,0.154
5.3,0.21,0.0043,0.15
5.31,0.2,0.0043,0.16
5.32,0.2,0.0043,0.161
5.33,0.2,0.0043,0.161
5.34,0.2,0.0043,0.161
5.35,0.2,0.0044,0.16
5.36,0.21,0.0045,0.161
5.37,0.21,0.0045,0.157
5.38,0.2,0.0044,0.157
5.39,0.2,0.0043,0.158
5.4,0.2,0.0043,0.16
5.41,0.2,0.0043,0.158
5.42,0.2,0.0043,0.158
5.43,0.21,0.0043,0.158
5.44,0.21,0.0043,0.161
5.45,0.21,0.0043,0.162
5.46,0.2,0.0043,0.162
5.47,0.21,0.0043,0.164
5.48,0.21,0.0042,0.164
5.49,0.21,0.0043,0.164
5.5,0.21,0.0043,0.164
5.51,0.21,0.0043,0.164
5.52,0.21,0.0043,0.166
5.53,0.22,0.0044,0.166
5.54,0.22,0.0044,0.165
5.55,0.22,0.0044,0.165
5.56,0.21,0.0044,0.164
5.57,0.22,0.0043,0.165
5.58,0.21,0.0043,0.166
5.59,0.21,0.0044,0.168
5.6,0.22,0.0044,0.168
5.61,0.22,0.0043,0.169
5.62,0.22,0.0044,0.17
5.63,0.22,0.0044,0.17
5.64,0.21,0.0044,0.169
5.65,0.21,0.0045,0.169
5.66,0.21,0.0044,0.169
5.67,0.22,0.0043,0.169
5.68,0.22,0.0044,0.17
5.69,0.22,0.0044,0.17
5.7,0.22,0.0043,0.17
5.71,0.22,0.0043,0.172
5.72,0.22,0.0043,0.174
5.73,0.22,0.0044,0.173
5.74,0.22,0.0043,0.174
5.75,0.22,0.0044,0.176
5.76,0.22,0.0043,0.174
5.77,0.22,0.0043,0.174
5.78,0.22,0.0043,0.173
5.79,0.22,0.0043,0.173
5.8,0.22,0.0043,0.173
5.81,0.22,0.0043,0.174
5.82,0.22,0.0043,0.174
5.83,0.22,0.0044,0.176
